name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_niqe,im_niqe,delta_niqe
peppers,avg,method_1,-1,3,31.9438407942138,31.4680844168536,-1.48935245584617,0.823610625282505,0.832310982370807,1.05636775695039,5.03324882438297,5.57423536323955,10.7482573926374
baboon,avg,method_1,-1,3,25.1230215747874,23.1951064177533,-7.67389842537442,0.785772085440798,0.666603460542406,-15.1658002500231,4.24774381357128,4.56748597013497,7.52734088016647
barbara,avg,method_1,-1,3,28.0577603718559,24.4858629824849,-12.7305149877675,0.853629042971765,0.743001375879116,-12.9596887551433,5.04111917691489,4.72823738273012,-6.20659387735907
boats,avg,method_1,-1,3,30.4934564301298,29.1486865869668,-4.41002759475419,0.830337946897214,0.815231767095021,-1.81928091551647,4.46022747650132,4.95158015821644,11.0163143988464
lena,avg,method_1,-1,3,32.7591343935885,32.28177071133,-1.45719260015601,0.871699357340396,0.876826865314654,0.588219772227698,5.16285748758873,5.53488071708723,7.20576212674533
peppers,avg,method_1,-1,3,31.9438407942138,31.4680844168536,-1.48935245584617,0.823610625282505,0.832310982370807,1.05636775695039,5.03324882438297,5.57423536323955,10.7482573926374
