quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
40,Case_17-07,avg,blur,0,3,35.000610991359,35.7573900889034,2.16218824788882,0.927212808183554,0.944002842337441,1.81080696962972
40,Case_17-08,avg,blur,0,3,35.2992008839943,36.1154228632257,2.31229591262932,0.926035952882249,0.94363937107778,1.90094327771412
