quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
40,Case_17-07,median,method_2,0,5,35.000610991359,32.147755979939,-8.1508720294177,0.927212808183554,0.91413586681875,-1.41034951732622
40,Case_17-08,median,method_2,0,5,35.2992008839943,33.0124643169235,-6.47815392361387,0.926035952882249,0.920235965211295,-0.626324242908882
