name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_niqe,im_niqe,delta_niqe
peppers,gauss,method_2,0.7,3,31.9438407942138,32.1389291950117,0.610723056299775,0.823610625282505,0.836041750346419,1.50934491157766,5.03324882438297,4.61267878520684,-8.3558364358768
baboon,gauss,method_2,0.7,3,25.1230215747874,24.6495739423644,-1.88451707933953,0.785772085440798,0.746798372882954,-4.95992582072717,4.24774381357128,4.00609996027802,-5.68875770052864
barbara,gauss,method_2,0.7,3,28.0577603718559,26.734745121418,-4.71532735650902,0.853629042971765,0.820105451204769,-3.9271850041898,5.04111917691489,4.4680295249537,-11.3683019950328
boats,gauss,method_2,0.7,3,30.4934564301298,30.4182264679788,-0.246708543268769,0.830337946897214,0.836237422073243,0.710490854726597,4.46022747650132,4.53796659415039,1.74294064727946
lena,gauss,method_2,0.7,3,32.7591343935885,33.0931931249406,1.01974224147234,0.871699357340396,0.882894630520722,1.2843043976175,5.16285748758873,4.7584532231003,-7.83295424017806
peppers,gauss,method_2,0.7,3,31.9438407942138,32.1389291950117,0.610723056299775,0.823610625282505,0.836041750346419,1.50934491157766,5.03324882438297,4.61267878520684,-8.3558364358768
