name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_2,0.4,5,26.1589663960723,26.3531735200039,0.742411305519949,0.814127189487225,0.815254691390978,0.138492107659851,5.26153663626786,4.96544385335129,-5.62749636438143
kodim02,gauss,method_2,0.4,5,30.1968195832686,30.3327211250631,0.45005250112457,0.983046643443474,0.983515471363115,0.0476913199152955,5.84949480761276,5.45869857058075,-6.68085449915112
kodim03,gauss,method_2,0.4,5,31.2347025857045,31.3600019704151,0.401154403077145,0.959660928342066,0.960479127958546,0.0852592402499895,7.78056467874901,7.29896653128633,-6.189758293226
kodim04,gauss,method_2,0.4,5,31.1946114909302,31.3377265386328,0.458781311458931,0.95997698115759,0.961015019414769,0.108131577897607,4.89240041702865,4.40194870995807,-10.0247662755384
kodim05,gauss,method_2,0.4,5,25.809512559855,26.078820727529,1.04344538491162,0.872277366064175,0.877027036736346,0.544513804548396,4.45431318800229,3.9633689336111,-11.0217722389515
