quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
20,Case_17-07,median,method_2,0,3,32.1647774408798,31.9524281253625,-0.660192087159939,0.884862935948956,0.897810828628054,1.4632653434864
20,Case_17-08,median,method_2,0,3,32.4508756740513,32.302562586181,-0.45703878490048,0.883813509521353,0.898258972321327,1.63444693301839
