name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,blurr,2,3,24.1150214956596,23.5690795487747,-2.26390819093041,0.710716423787605,0.653072150760515,-8.1107275838496,7.24220001316037,5.85075119279904,-19.213068098545
kodim02,gauss,blurr,2,3,28.0454844398903,28.1741386894999,0.45873427462209,0.97314920013919,0.973712662355869,0.0579009073426982,8.21093909016877,6.30899186874463,-23.1635772782849
kodim03,gauss,blurr,2,3,28.889183432536,29.1046988970053,0.746007463217354,0.937087750387719,0.940329045500912,0.345890244734541,8.45553309211667,7.51801138749716,-11.0876711663938
kodim04,gauss,blurr,2,3,28.7331137920164,29.1482858422536,1.44492536813936,0.933482620729158,0.940465244582412,0.748018623828175,7.48151560499846,6.45671055040467,-13.6978268669133
kodim05,gauss,blurr,2,3,23.4606463133317,23.2808694870014,-0.766291021693264,0.785736697399334,0.773507466966976,-1.55640311478834,6.21650961799475,5.18400053073539,-16.6091448530955
kodim06,gauss,blurr,2,3,25.8063318313501,25.6352835042644,-0.662815343937756,0.831655067681562,0.819058620592475,-1.51462398037248,5.90559640423936,5.13159799464563,-13.1061853302082
kodim07,gauss,blurr,2,3,27.7449428687623,28.1070393547147,1.30509003988645,0.891343336180656,0.902085950433626,1.20521619637626,7.24843051801213,5.95671648481054,-17.8206030945833
kodim08,gauss,blurr,2,3,23.4760166981484,21.8622568006626,-6.87407884495617,0.812059946480298,0.754050115951022,-7.14354042219504,5.34989434148309,4.50255516074168,-15.8384283250445
kodim09,gauss,blurr,2,3,28.3742323725659,28.3505355017991,-0.0835154602800524,0.795812224523494,0.802489278361132,0.839023783736917,6.80409757101481,6.02276470568061,-11.4832695618982
kodim10,gauss,blurr,2,3,28.3916988114205,28.4273603275424,0.125605432626061,0.81776030433309,0.825841974592486,0.988268838261376,6.71975931901749,5.85872766275696,-12.8134299962759
kodim11,gauss,blurr,2,3,25.8072416570913,25.6767902818549,-0.50548360405902,0.813962894973399,0.811894881136763,-0.254067335182854,5.66547705441077,4.97999970926677,-12.0991990358576
kodim12,gauss,blurr,2,3,28.5054656434621,28.6055764179034,0.351198523446094,0.905701109399124,0.908703741898255,0.331525761420658,7.54732774001142,5.75903681560379,-23.6943589308727
kodim13,gauss,blurr,2,3,22.7470302551464,22.3139823021931,-1.90375599845758,0.783169820705448,0.758893395131973,-3.09976520183167,6.36335475639599,5.21131655764719,-18.1042585688132
kodim14,gauss,blurr,2,3,24.6082038954317,24.7515403531525,0.582474276992793,0.794629987144362,0.797528038971231,0.364704563602371,5.64670770245592,5.25840182769634,-6.87667744145302
kodim15,gauss,blurr,2,3,27.4476873278375,27.7694243181559,1.17218251022564,0.863484610896186,0.871215829118839,0.89535101437757,7.36895641361231,6.06856185960528,-17.6469296467119
kodim16,gauss,blurr,2,3,27.8734542801499,28.0090709361553,0.486544131352877,0.760254328306459,0.754832705243233,-0.713132811134838,7.93392429300744,5.91282642975003,-25.4741259005799
kodim17,gauss,blurr,2,3,27.34706383264,27.6147894180074,0.978992066591694,0.758690124982938,0.776776988081863,2.38395920855456,6.65011836666583,5.66551376560439,-14.8058206903028
kodim18,gauss,blurr,2,3,25.3718265397244,25.2687022285529,-0.406452058191671,0.80791458355327,0.814918949480758,0.8669686214453,6.21620668097304,5.69245004784095,-8.42566310954945
kodim19,gauss,blurr,2,3,26.2730991721556,24.9984486432612,-4.85154233439348,0.847327499709987,0.834284129169663,-1.53935409210594,6.66004669417205,5.08848982820484,-23.59678449916
kodim20,gauss,blurr,2,3,28.0702850638534,27.9215288654321,-0.529941887241027,0.880148221968813,0.884657258701219,0.512304248291183,7.1969124622808,5.99752153438677,-16.6653538469456
kodim21,gauss,blurr,2,3,26.024751817878,25.8233492271506,-0.773888612413663,0.83361678473805,0.826561851840893,-0.846304084361068,5.60951354063952,4.93523385773145,-12.0202879986488
kodim22,gauss,blurr,2,3,26.7737952568833,26.6276659696029,-0.54579220419961,0.848172988300631,0.852055459776607,0.457745239418027,6.82756421620274,5.56440162430335,-18.5009258338682
kodim23,gauss,blurr,2,3,28.420592677596,28.4713029209607,0.17842781795555,0.918048487524688,0.924424498372366,0.694517875070976,6.54716800995738,6.73750807049579,2.90721209916916
kodim24,gauss,blurr,2,3,25.3054035409689,24.7367088947597,-2.24732494500035,0.766804567961218,0.765874925094922,-0.121235958305112,7.16979774809857,5.60917221168865,-21.7666605285177
