quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
20,Case_17-07,gauss,blur,1.5,3,32.1647774408798,33.1393673677357,3.02999120279087,0.884862935948956,0.914864384740192,3.3905193191374
20,Case_17-08,gauss,blur,1.5,3,32.4508756740513,33.4223854345243,2.99378596199124,0.883813509521353,0.914094678691762,3.42619442271351
