quality,sigma,filter_size,method,type,mean_PSNR,mean_SSIM,mean_jpg_PSNR,mean_jpg_SSIM,mean_delta_PSNR,mean_delta_SSIM
30,0,3,method_2,wiener,34.7658030351623,0.932543073797376,34.0401983711931,0.912343434609213,2.13126669773864,2.21406677025533
30,0,5,method_2,wiener,34.0971074536731,0.918509925000701,34.0401983711931,0.912343434609213,0.165855317822629,0.67604027683619
