name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_1,4.4,5,24.1150214956596,21.5900719402081,-10.4704428976186,0.710716423787605,0.50101523224451,-29.5056065294706,7.24220001316037,5.47169991745378,-24.4469925228423
kodim02,gauss,method_1,4.4,5,28.0454844398903,27.4398953157823,-2.15931062059552,0.97314920013919,0.9690756106166,-0.418598661131006,8.21093909016877,6.16904424196371,-24.8679819175603
kodim03,gauss,method_1,4.4,5,28.889183432536,28.6308833528618,-0.894106544331326,0.937087750387719,0.936683156841101,-0.043175630718702,8.45553309211667,7.51173160346945,-11.161939505945
kodim04,gauss,method_1,4.4,5,28.7331137920164,28.7004737878621,-0.113597170117506,0.933482620729158,0.937694242902953,0.451173067421927,7.48151560499846,6.50541492728078,-13.0468307392895
kodim05,gauss,method_1,4.4,5,23.4606463133317,21.4574009383932,-8.5387476038975,0.785736697399334,0.678536307871027,-13.6432967790767,6.21650961799475,5.90380160235075,-5.03028282524985
kodim06,gauss,method_1,4.4,5,25.8063318313501,24.1511108520832,-6.4140110655174,0.831655067681562,0.765006513118424,-8.01396602427225,5.90559640423936,5.06436881040636,-14.244583209735
kodim07,gauss,method_1,4.4,5,27.7449428687623,26.948118728938,-2.87196172503711,0.891343336180656,0.884260571866923,-0.794616846980915,7.24843051801213,5.88412426717499,-18.8220918645336
kodim08,gauss,method_1,4.4,5,23.4760166981484,19.3094760304086,-17.7480733691438,0.812059946480298,0.604272380383934,-25.5877127048286,5.34989434148309,4.59343876593378,-14.1396357996036
kodim09,gauss,method_1,4.4,5,28.3742323725659,26.7082809256443,-5.87135336402038,0.795812224523494,0.782899072728867,-1.62263802900971,6.80409757101481,6.29082930186844,-7.54351717901386
kodim10,gauss,method_1,4.4,5,28.3916988114205,27.1017234636622,-4.54349475995218,0.81776030433309,0.803736364101438,-1.71492063840018,6.71975931901749,5.89067785962039,-12.3379636090645
kodim11,gauss,method_1,4.4,5,25.8072416570913,24.2368778157456,-6.08497359854134,0.813962894973399,0.77043225246623,-5.34798856016544,5.66547705441077,5.1346714393623,-9.36912478773922
kodim12,gauss,method_1,4.4,5,28.5054656434621,27.6870404824613,-2.87111661755503,0.905701109399124,0.896361329935235,-1.03122093668244,7.54732774001142,5.60783585768701,-25.6977297016317
kodim13,gauss,method_1,4.4,5,22.7470302551464,20.6309805907466,-9.30253154220456,0.783169820705448,0.670037143526444,-14.4454847707358,6.36335475639599,5.50321645321337,-13.5170572144838
kodim14,gauss,method_1,4.4,5,24.6082038954317,23.5801114996989,-4.17784410476074,0.794629987144362,0.75617293599078,-4.83961740379115,5.64670770245592,5.68475744457087,0.673839414397158
kodim15,gauss,method_1,4.4,5,27.4476873278375,27.1622539904302,-1.0399176221956,0.863484610896186,0.861159716670562,-0.269245588894893,7.36895641361231,5.70485172689604,-22.5826371240608
kodim16,gauss,method_1,4.4,5,27.8734542801499,26.9684842866714,-3.2467091605613,0.760254328306459,0.707467023031951,-6.94337451417037,7.93392429300744,5.82446135313558,-26.5878884391553
kodim17,gauss,method_1,4.4,5,27.34706383264,26.5265532740486,-3.00036071006695,0.758690124982938,0.756487946107124,-0.290260648359339,6.65011836666583,6.0109457488648,-9.61144723385567
kodim18,gauss,method_1,4.4,5,25.3718265397244,23.7893014816224,-6.23733200928302,0.80791458355327,0.781112929655512,-3.31738706583097,6.21620668097304,5.83961475918425,-6.05822716515352
kodim19,gauss,method_1,4.4,5,26.2730991721556,22.2896814398941,-15.1615829794573,0.847327499709987,0.777997053738167,-8.18224901181071,6.66004669417205,5.10422794086467,-23.3604781580407
kodim20,gauss,method_1,4.4,5,28.0702850638534,26.6059365242211,-5.21672129905807,0.880148221968813,0.867618793515265,-1.42355891210249,7.1969124622808,5.88493594179114,-18.2297134690155
kodim21,gauss,method_1,4.4,5,26.024751817878,24.1658467606498,-7.1428349066954,0.83361678473805,0.776762345587322,-6.82021285938889,5.60951354063952,5.12326842668897,-8.66822248360446
kodim22,gauss,method_1,4.4,5,26.7737952568833,25.2663720310203,-5.63021869480933,0.848172988300631,0.832587230434208,-1.83756828871081,6.82756421620274,5.5550341366481,-18.6381268525421
kodim23,gauss,method_1,4.4,5,28.420592677596,27.1655233824691,-4.41605602446246,0.918048487524688,0.916892805395566,-0.125884650410764,6.54716800995738,6.63118638627869,1.28327814703291
kodim24,gauss,method_1,4.4,5,25.3054035409689,23.2190489133348,-8.24470008651053,0.766804567961218,0.712144087655441,-7.12834568149586,7.16979774809857,5.74558811229553,-19.8640141025002
