name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_1,0.7,7,24.1150214956596,23.5362913071042,-2.39987423879982,0.710716423787605,0.679255365568756,-4.42666824148854,7.24220001316037,4.99279216900139,-31.0597310219465
kodim02,gauss,method_1,0.7,7,28.0454844398903,27.9900258568901,-0.197745141892827,0.97314920013919,0.973244948207492,0.00983899162522022,8.21093909016877,6.37438794089569,-22.3671266965315
kodim03,gauss,method_1,0.7,7,28.889183432536,29.1458046398823,0.888295122447967,0.937087750387719,0.94099613960501,0.41707825288227,8.45553309211667,6.83123736367778,-19.2098559693802
kodim04,gauss,method_1,0.7,7,28.7331137920164,28.8905691513027,0.547992676415174,0.933482620729158,0.938662795963177,0.554930013584202,7.48151560499846,5.54832522037802,-25.8395556019272
kodim05,gauss,method_1,0.7,7,23.4606463133317,23.5119853555887,0.218830468570236,0.785736697399334,0.788882026179175,0.400303153747484,6.21650961799475,4.15199207846996,-33.210236392922
kodim06,gauss,method_1,0.7,7,25.8063318313501,25.5482679619393,-1.00000213551183,0.831655067681562,0.826911929084934,-0.570325220268445,5.90559640423936,4.58410697859121,-22.3769004041575
kodim07,gauss,method_1,0.7,7,27.7449428687623,27.6482190609594,-0.348617794098251,0.891343336180656,0.895983678863718,0.520601040553539,7.24843051801213,4.91375440858603,-32.2094017956646
kodim08,gauss,method_1,0.7,7,23.4760166981484,22.1288753998836,-5.73837255095777,0.812059946480298,0.785198611665635,-3.30780195859774,5.34989434148309,4.15707635496972,-22.2961036307626
kodim09,gauss,method_1,0.7,7,28.3742323725659,28.0320200451005,-1.2060672619157,0.795812224523494,0.802453011534752,0.834466574729301,6.80409757101481,5.30875640434214,-21.9770682455049
kodim10,gauss,method_1,0.7,7,28.3916988114205,28.0882559548,-1.0687731601971,0.81776030433309,0.825142537144665,0.902737974985893,6.71975931901749,5.0078311719577,-25.476033676011
kodim11,gauss,method_1,0.7,7,25.8072416570913,25.5887798792778,-0.846513473684255,0.813962894973399,0.817216518423946,0.399726261558086,5.66547705441077,3.76154924680731,-33.6057809310372
kodim12,gauss,method_1,0.7,7,28.5054656434621,28.5425731605922,0.130176849570326,0.905701109399124,0.910082543216981,0.483761560230771,7.54732774001142,5.18544500417838,-31.2942913994811
kodim13,gauss,method_1,0.7,7,22.7470302551464,22.3850079228909,-1.59151470849067,0.783169820705448,0.773517955649242,-1.2324102386265,6.36335475639599,4.13421146554652,-35.0309447796997
kodim14,gauss,method_1,0.7,7,24.6082038954317,24.7729679792632,0.669549409341932,0.794629987144362,0.802450571703501,0.98417938986216,5.64670770245592,4.17724235949501,-26.023400189845
kodim15,gauss,method_1,0.7,7,27.4476873278375,27.5581785406332,0.402551994548428,0.863484610896186,0.870358088519515,0.796016227341396,7.36895641361231,5.15923458625218,-29.9869032103138
kodim16,gauss,method_1,0.7,7,27.8734542801499,27.7141961188297,-0.571361409746641,0.760254328306459,0.757922042609707,-0.306777036304151,7.93392429300744,5.56316033712619,-29.881353392428
kodim17,gauss,method_1,0.7,7,27.34706383264,27.3802192331933,0.121239343119941,0.758690124982938,0.775102918648263,2.1633066155559,6.65011836666583,4.51340929209434,-32.1303916225294
kodim18,gauss,method_1,0.7,7,25.3718265397244,25.1480895624643,-0.881832362008957,0.80791458355327,0.816758357855908,1.09464224098321,6.21620668097304,4.425538182428,-28.8064504680328
kodim19,gauss,method_1,0.7,7,26.2730991721556,24.7216220238103,-5.90519275316241,0.847327499709987,0.840172924643947,-0.844369511020198,6.66004669417205,4.65274037506946,-30.1395232087352
kodim20,gauss,method_1,0.7,7,28.0702850638534,27.9601742373842,-0.392268287332243,0.880148221968813,0.886638657419386,0.737425275489831,7.1969124622808,5.10288960175484,-29.0961279785017
kodim21,gauss,method_1,0.7,7,26.024751817878,25.6287047127461,-1.52180934482483,0.83361678473805,0.831445505504196,-0.260464913087976,5.60951354063952,4.20682846483772,-25.0054673304503
kodim22,gauss,method_1,0.7,7,26.7737952568833,26.430540577484,-1.28205462134131,0.848172988300631,0.852610154693569,0.523144034783287,6.82756421620274,4.73309803059057,-30.6766237458699
kodim23,gauss,method_1,0.7,7,28.420592677596,28.3697850657515,-0.178770416299471,0.918048487524688,0.923859063125751,0.63292687478089,6.54716800995738,5.73177951022674,-12.4540640852738
kodim24,gauss,method_1,0.7,7,25.3054035409689,24.8345802723998,-1.86056415898225,0.766804567961218,0.77250544050266,0.743458343838476,7.16979774809857,5.05672108411965,-29.4719145256127
