name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_1,4.1,7,24.1150214956596,20.839392257439,-13.5833560787418,0.710716423787605,0.423600147963446,-40.3981484336659,7.24220001316037,5.68647783749244,-21.4813478340962
kodim02,gauss,method_1,4.1,7,28.0454844398903,26.9996198008728,-3.72917301984613,0.97314920013919,0.965689966366082,-0.766504639991526,8.21093909016877,5.99766144046966,-26.9552316171623
kodim03,gauss,method_1,4.1,7,28.889183432536,28.0668971697385,-2.84634650445478,0.937087750387719,0.931971771585605,-0.545944475316977,8.45553309211667,7.34408847445972,-13.1445836181894
kodim04,gauss,method_1,4.1,7,28.7331137920164,28.1981950611002,-1.86168034132418,0.933482620729158,0.932202852407315,-0.137096105853949,7.48151560499846,6.40967453374684,-14.326523231944
kodim05,gauss,method_1,4.1,7,23.4606463133317,20.3668165766746,-13.1873167317601,0.785736697399334,0.604054834141793,-23.1224866878282,6.21650961799475,6.38383789960096,2.69167574553173
kodim06,gauss,method_1,4.1,7,25.8063318313501,23.6334222995304,-8.42006351782253,0.831655067681562,0.740510079514266,-10.9594700626769,5.90559640423936,5.17290629680543,-12.4067080999298
kodim07,gauss,method_1,4.1,7,27.7449428687623,25.6773100532067,-7.45228716215343,0.891343336180656,0.84765821525738,-4.90104308295657,7.24843051801213,6.76810512372836,-6.62661238305551
kodim08,gauss,method_1,4.1,7,23.4760166981484,18.471246806062,-21.3186502481963,0.812059946480298,0.533422075306019,-34.312475622271,5.34989434148309,4.95416910399355,-7.39687949388245
kodim09,gauss,method_1,4.1,7,28.3742323725659,25.3599873477349,-10.6231773436289,0.795812224523494,0.757466905403987,-4.81838779775802,6.80409757101481,7.04134907858754,3.48689161342146
kodim10,gauss,method_1,4.1,7,28.3916988114205,26.3477666401055,-7.19904851376068,0.81776030433309,0.781843102463322,-4.39214298853258,6.71975931901749,6.35429786853687,-5.43860922885038
kodim11,gauss,method_1,4.1,7,25.8072416570913,23.4860937989506,-8.99417260078597,0.813962894973399,0.742377672278005,-8.79465429412883,5.66547705441077,5.59755100930475,-1.19894661038553
kodim12,gauss,method_1,4.1,7,28.5054656434621,27.0159643140227,-5.22531835848492,0.905701109399124,0.888034674036555,-1.95058117730363,7.54732774001142,5.86447690021046,-22.2973070439155
kodim13,gauss,method_1,4.1,7,22.7470302551464,20.0011292167144,-12.0714704628785,0.783169820705448,0.621760875799952,-20.6096992808157,6.36335475639599,6.02133127912812,-5.3748924955676
kodim14,gauss,method_1,4.1,7,24.6082038954317,22.7243307880178,-7.65546772701936,0.794629987144362,0.718489660580399,-9.581859204381,5.64670770245592,6.2228990889732,10.2040235988605
kodim15,gauss,method_1,4.1,7,27.4476873278375,26.6497092259706,-2.90726898895284,0.863484610896186,0.85051517405801,-1.50198818537311,7.36895641361231,5.90720366947831,-19.836631703151
kodim16,gauss,method_1,4.1,7,27.8734542801499,26.6516940583821,-4.38323936993266,0.760254328306459,0.685798317549636,-9.79356617708198,7.93392429300744,5.6413468008319,-28.8958831406559
kodim17,gauss,method_1,4.1,7,27.34706383264,25.7800234250717,-5.73019618178551,0.758690124982938,0.726795164093263,-4.20395097278907,6.65011836666583,6.02937237210616,-9.3343600870505
kodim18,gauss,method_1,4.1,7,25.3718265397244,22.9169619785086,-9.67555314700063,0.80791458355327,0.749154088551371,-7.27310735541704,6.21620668097304,6.43255187334168,3.48034104192263
kodim19,gauss,method_1,4.1,7,26.2730991721556,21.3653298650735,-18.6798263688789,0.847327499709987,0.744847407406335,-12.0945080076744,6.66004669417205,5.19705691517614,-21.9666594871792
kodim20,gauss,method_1,4.1,7,28.0702850638534,25.6457329772758,-8.63743307580352,0.880148221968813,0.849935063413668,-3.43273528265064,7.1969124622808,5.90512272735731,-17.9492211652398
kodim21,gauss,method_1,4.1,7,26.024751817878,23.3708276194994,-10.1976926310417,0.83361678473805,0.742116394222917,-10.9763133600874,5.60951354063952,5.91721342848785,5.48532213389137
kodim22,gauss,method_1,4.1,7,26.7737952568833,24.6551280882522,-7.91321196081242,0.848172988300631,0.818501162157288,-3.49832245928895,6.82756421620274,5.85665842305471,-14.2203831762423
kodim23,gauss,method_1,4.1,7,28.420592677596,26.1764791753056,-7.89608270224224,0.918048487524688,0.907530659592641,-1.14567237732794,6.54716800995738,6.40424070053139,-2.18304019705332
kodim24,gauss,method_1,4.1,7,25.3054035409689,22.5577790227639,-10.8578569543719,0.766804567961218,0.671950070357615,-12.3701007488521,7.16979774809857,6.06732649898444,-15.3766017933561
