quality,sigma,filter_size,method,type,mean_PSNR,mean_SSIM,mean_jpg_PSNR,mean_jpg_SSIM,mean_delta_PSNR,mean_delta_SSIM
40,1.4,3,blur,gauss,35.9825683024329,0.944133681621242,35.1499059376766,0.926624380532902,2.36865149116919,1.88960144888279
40,1.4,5,blur,gauss,35.17950154772,0.937162157394336,35.1499059376766,0.926624380532902,0.0830783079182845,1.13731944066783
40,1.5,3,blur,gauss,35.9772974995118,0.944104442697072,35.1499059376766,0.926624380532902,2.35364565214278,1.88644684784675
40,1.5,5,blur,gauss,35.0603947410541,0.935766119275746,35.1499059376766,0.926624380532902,-0.25585965037551,0.986670353953217
