name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_2,3.8,5,24.1150214956596,21.6764935462359,-10.1120703950546,0.710716423787605,0.498486760154624,-29.8613703763803,7.24220001316037,5.6917960203253,-21.4079145842108
kodim02,gauss,method_2,3.8,5,28.0454844398903,27.508582945348,-1.91439550881357,0.97314920013919,0.969030252218989,-0.423259652231258,8.21093909016877,6.22863546031765,-24.1422279240215
kodim03,gauss,method_2,3.8,5,28.889183432536,28.4477797313971,-1.52792031027696,0.937087750387719,0.934536559073586,-0.272246789383083,8.45553309211667,7.69765974226731,-8.96304634601869
kodim04,gauss,method_2,3.8,5,28.7331137920164,28.7204167531229,-0.0441895681249973,0.933482620729158,0.936826484442931,0.358213815610311,7.48151560499846,6.4506816592808,-13.7784106876547
kodim05,gauss,method_2,3.8,5,23.4606463133317,21.3670303276632,-8.92394846120999,0.785736697399334,0.672900198323693,-14.3605993520618,6.21650961799475,6.05184066456931,-2.64889726782979
kodim06,gauss,method_2,3.8,5,25.8063318313501,24.2458648398858,-6.04683765853395,0.831655067681562,0.764383621421704,-8.08886386604893,5.90559640423936,5.30190372643616,-10.222382914109
kodim07,gauss,method_2,3.8,5,27.7449428687623,26.8391788311005,-3.26460948918234,0.891343336180656,0.879400838892037,-1.33983133141398,7.24843051801213,6.33498725228553,-12.6019455309218
kodim08,gauss,method_2,3.8,5,23.4760166981484,19.3211951439056,-17.6981538549107,0.812059946480298,0.597513663224205,-26.4200055902275,5.34989434148309,4.83032203982582,-9.7118236079638
kodim09,gauss,method_2,3.8,5,28.3742323725659,26.6430412577818,-6.10127911850737,0.795812224523494,0.778861727799382,-2.12996184297884,6.80409757101481,6.56376786242314,-3.53213201432412
kodim10,gauss,method_2,3.8,5,28.3916988114205,27.1493814532275,-4.37563587316326,0.81776030433309,0.801330474290987,-2.00912540692496,6.71975931901749,6.05380716566175,-9.9103572276918
kodim11,gauss,method_2,3.8,5,25.8072416570913,24.2408688701959,-6.069508735991,0.813962894973399,0.767357299473849,-5.72576413339736,5.66547705441077,5.44192030375154,-3.94594750825414
kodim12,gauss,method_2,3.8,5,28.5054656434621,27.6374387985394,-3.04512424311794,0.905701109399124,0.895373348409323,-1.14030565742082,7.54732774001142,5.98608634177492,-20.6860156603473
kodim13,gauss,method_2,3.8,5,22.7470302551464,20.6943591361488,-9.02390815844273,0.783169820705448,0.669196104566576,-14.5528738628117,6.36335475639599,5.80768573501974,-8.73232819241674
kodim14,gauss,method_2,3.8,5,24.6082038954317,23.5287294867945,-4.38664444274059,0.794629987144362,0.753849895790665,-5.13195978171523,5.64670770245592,5.91454001944988,4.74315886543013
kodim15,gauss,method_2,3.8,5,27.4476873278375,27.1725180561885,-1.00252261096665,0.863484610896186,0.860411555458054,-0.355890006533228,7.36895641361231,5.88575553471637,-20.1276923847194
kodim16,gauss,method_2,3.8,5,27.8734542801499,27.0762880810751,-2.85994764431631,0.760254328306459,0.707281666706559,-6.96775534549106,7.93392429300744,5.74024221499468,-27.6493951416471
kodim17,gauss,method_2,3.8,5,27.34706383264,26.5481220938856,-2.92149001312828,0.758690124982938,0.753023796962455,-0.746856698656772,6.65011836666583,6.1374970482721,-7.70845404742383
kodim18,gauss,method_2,3.8,5,25.3718265397244,23.8281964163383,-6.08403230634289,0.80791458355327,0.779803338478046,-3.47948231749813,6.21620668097304,6.09602711774165,-1.93332637409311
kodim19,gauss,method_2,3.8,5,26.2730991721556,22.4576601526451,-14.5222266871132,0.847327499709987,0.776195900876043,-8.39481768953452,6.66004669417205,5.49870720648768,-17.4374075890581
kodim20,gauss,method_2,3.8,5,28.0702850638534,26.4729636472871,-5.69043532309281,0.880148221968813,0.864629532483394,-1.76319046020517,7.1969124622808,5.99156365614712,-16.7481376555702
kodim21,gauss,method_2,3.8,5,26.024751817878,24.2129610776467,-6.96179834071168,0.83361678473805,0.773777747866819,-7.17824280494005,5.60951354063952,5.61330282506423,0.0675510344570735
kodim22,gauss,method_2,3.8,5,26.7737952568833,25.3886818199087,-5.17339220564376,0.848172988300631,0.832307880270805,-1.87050380625922,6.82756421620274,5.62926801593496,-17.550859462062
kodim23,gauss,method_2,3.8,5,28.420592677596,27.1136851751257,-4.59845266879514,0.918048487524688,0.915718812878664,-0.253763791094032,6.54716800995738,6.57370752215508,0.405358655182521
kodim24,gauss,method_2,3.8,5,25.3054035409689,23.2434645022034,-8.14821638954403,0.766804567961218,0.711211628118404,-7.24994896556552,7.16979774809857,5.85737785980693,-18.3048383566983
