name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_2,5,5,24.1150214956596,21.6063748080065,-10.4028382811296,0.710716423787605,0.49214112270728,-30.7542212005565,7.24220001316037,5.65314236239276,-21.9416427035986
kodim02,gauss,method_2,5,5,28.0454844398903,27.4764849324424,-2.02884535179787,0.97314920013919,0.968794725603955,-0.447462170714628,8.21093909016877,6.18102168209529,-24.722110172562
kodim03,gauss,method_2,5,5,28.889183432536,28.4165244288998,-1.63611063891777,0.937087750387719,0.934217339470299,-0.306311859933282,8.45553309211667,7.71144329866528,-8.80003407644546
kodim04,gauss,method_2,5,5,28.7331137920164,28.6956969359645,-0.130222071728145,0.933482620729158,0.936558116657161,0.32946472271762,7.48151560499846,6.49582631327736,-13.1749947973449
kodim05,gauss,method_2,5,5,23.4606463133317,21.3051873978761,-9.18755130045446,0.785736697399334,0.668905745205891,-14.868969793588,6.21650961799475,6.07144453226899,-2.33354558490258
kodim06,gauss,method_2,5,5,25.8063318313501,24.1906177777945,-6.26092101781316,0.831655067681562,0.76200939679863,-8.37434575816225,5.90559640423936,5.3285232468058,-9.77163215927349
kodim07,gauss,method_2,5,5,27.7449428687623,26.7847208096755,-3.46089038146079,0.891343336180656,0.878094664971977,-1.4863712635637,7.24843051801213,6.40263522276266,-11.6686680398977
kodim08,gauss,method_2,5,5,23.4760166981484,19.235464324998,-18.063338545354,0.812059946480298,0.59093846795162,-27.2296989264256,5.34989434148309,4.80774107063747,-10.1339061342159
kodim09,gauss,method_2,5,5,28.3742323725659,26.5720931477088,-6.35132327526719,0.795812224523494,0.777528080259649,-2.29754503643021,6.80409757101481,6.54765763703405,-3.7689044183196
kodim10,gauss,method_2,5,5,28.3916988114205,27.1007687524525,-4.54685740202575,0.81776030433309,0.800064479704592,-2.16393783541867,6.71975931901749,6.03024898833914,-10.2609378988765
kodim11,gauss,method_2,5,5,25.8072416570913,24.1849966004399,-6.28600715336709,0.813962894973399,0.765286318846689,-5.98019595577515,5.66547705441077,5.48804734560785,-3.13176996568698
kodim12,gauss,method_2,5,5,28.5054656434621,27.5934031082548,-3.19960581109306,0.905701109399124,0.894689516699036,-1.21580867968609,7.54732774001142,6.02862188510009,-20.122431504598
kodim13,gauss,method_2,5,5,22.7470302551464,20.6404146989642,-9.26105752070921,0.783169820705448,0.665685295435466,-15.0011558366942,6.36335475639599,5.77783738420831,-9.20139446255395
kodim14,gauss,method_2,5,5,24.6082038954317,23.4813392288984,-4.57922354399257,0.794629987144362,0.751957343616753,-5.37012750814514,5.64670770245592,5.92586635019343,4.9437417774625
kodim15,gauss,method_2,5,5,27.4476873278375,27.1423521526651,-1.11242587226189,0.863484610896186,0.859777016293903,-0.429375874856077,7.36895641361231,5.86234661177569,-20.4453618297094
kodim16,gauss,method_2,5,5,27.8734542801499,27.0353757133552,-3.00672660938022,0.760254328306459,0.705230090236767,-7.23760931322345,7.93392429300744,5.81451625239282,-26.7132375145369
kodim17,gauss,method_2,5,5,27.34706383264,26.5054752896035,-3.07743656937699,0.758690124982938,0.751737544004144,-0.916392707622269,6.65011836666583,6.1668635991128,-7.26685963930178
kodim18,gauss,method_2,5,5,25.3718265397244,23.7736860654924,-6.29887829214749,0.80791458355327,0.778101967071647,-3.69007034759857,6.21620668097304,6.1047469706986,-1.79305026352494
kodim19,gauss,method_2,5,5,26.2730991721556,22.3676195553337,-14.8649369122044,0.847327499709987,0.773401432994289,-8.7246155401543,6.66004669417205,5.51186087677886,-17.2399064168412
kodim20,gauss,method_2,5,5,28.0702850638534,26.4164132490101,-5.89189533017265,0.880148221968813,0.863609196572599,-1.87911819661673,7.1969124622808,6.00953030871523,-16.4984937608824
kodim21,gauss,method_2,5,5,26.024751817878,24.1517165727038,-7.19713009477213,0.83361678473805,0.771478432965967,-7.45406677381259,5.60951354063952,5.64887104717713,0.701620670892016
kodim22,gauss,method_2,5,5,26.7737952568833,25.3388097596835,-5.35966411721503,0.848172988300631,0.831308649453537,-1.98831359636697,6.82756421620274,5.63902327654855,-17.4079789221699
kodim23,gauss,method_2,5,5,28.420592677596,27.062141899163,-4.77981157480876,0.918048487524688,0.915220394823973,-0.308054829254235,6.54716800995738,6.59735426890417,0.766533848993472
kodim24,gauss,method_2,5,5,25.3054035409689,23.1925982877919,-8.34922568911566,0.766804567961218,0.708701893532848,-7.57724677917004,7.16979774809857,5.87721098474489,-18.0282179325976
