name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_2,0.7,3,24.1150214956596,24.2157051535097,0.417514277846259,0.710716423787605,0.692454515697961,-2.56950697611877,7.24220001316037,5.59856314946186,-22.6952702315833
kodim02,gauss,method_2,0.7,3,28.0454844398903,28.3276923889049,1.00625093361981,0.97314920013919,0.974642054813099,0.153404500943507,8.21093909016877,6.41893341504556,-21.8246129394486
kodim03,gauss,method_2,0.7,3,28.889183432536,29.236137287611,1.2009818688204,0.937087750387719,0.941145922178882,0.433062089381089,8.45553309211667,7.10076579724858,-16.0222576165089
kodim04,gauss,method_2,0.7,3,28.7331137920164,29.1745455070135,1.53631701107061,0.933482620729158,0.939996148133256,0.697766327884046,7.48151560499846,5.7209905012765,-23.5316638589345
kodim05,gauss,method_2,0.7,3,23.4606463133317,23.8261649653557,1.55800759766946,0.785736697399334,0.792335289820372,0.83979689925115,6.21650961799475,4.51273595767184,-27.4072391908
kodim06,gauss,method_2,0.7,3,25.8063318313501,26.0990888455333,1.13443869549689,0.831655067681562,0.833444070776954,0.215113592751731,5.90559640423936,4.84492375161429,-17.9604663106279
kodim07,gauss,method_2,0.7,3,27.7449428687623,28.2707065028078,1.89498906713371,0.891343336180656,0.902912049899847,1.2978964726165,7.24843051801213,5.54049766461492,-23.5627954100277
kodim08,gauss,method_2,0.7,3,23.4760166981484,23.145450817596,-1.40810038092394,0.812059946480298,0.798689652280832,-1.64646640404026,5.34989434148309,4.37760954207733,-18.1739065735684
kodim09,gauss,method_2,0.7,3,28.3742323725659,28.7699644745696,1.39468831018067,0.795812224523494,0.805495727450442,1.21680751168991,6.80409757101481,5.5590894296903,-18.2979172231186
kodim10,gauss,method_2,0.7,3,28.3916988114205,28.7567734640771,1.28584997707088,0.81776030433309,0.82877824755519,1.34733162807223,6.71975931901749,5.39771026776622,-19.6740536154288
kodim11,gauss,method_2,0.7,3,25.8072416570913,26.0907888439008,1.09871171269319,0.813962894973399,0.821079024899378,0.874257287392975,5.66547705441077,4.47823427630487,-20.9557424150468
kodim12,gauss,method_2,0.7,3,28.5054656434621,28.8694226596285,1.2767973016775,0.905701109399124,0.911507277009651,0.641068841615815,7.54732774001142,5.57896296246202,-26.0802875581287
kodim13,gauss,method_2,0.7,3,22.7470302551464,22.8860717791403,0.611251325708344,0.783169820705448,0.781283333563788,-0.240878426592206,6.36335475639599,4.36313218158594,-31.4334600440055
kodim14,gauss,method_2,0.7,3,24.6082038954317,24.998519808544,1.58612109510668,0.794629987144362,0.804019518623366,1.18162309891512,5.64670770245592,4.5651114365702,-19.1544581883582
kodim15,gauss,method_2,0.7,3,27.4476873278375,27.8571838912953,1.49191645389551,0.863484610896186,0.871971073056228,0.982815681131124,7.36895641361231,5.46378523248095,-25.85401614823
kodim16,gauss,method_2,0.7,3,27.8734542801499,28.2477732371414,1.34292274373072,0.760254328306459,0.765804176269557,0.729998864387999,7.93392429300744,5.71132753274902,-28.0138387785891
kodim17,gauss,method_2,0.7,3,27.34706383264,27.82490757717,1.74733107530024,0.758690124982938,0.777457478550466,2.47365201543257,6.65011836666583,4.93600565619543,-25.7756721904757
kodim18,gauss,method_2,0.7,3,25.3718265397244,25.6745437671921,1.19312351041686,0.80791458355327,0.819971033040972,1.49229259294669,6.21620668097304,4.87772384278414,-21.5321482518561
kodim19,gauss,method_2,0.7,3,26.2730991721556,26.1593943546729,-0.432780376375227,0.847327499709987,0.850816611364435,0.411778403939664,6.66004669417205,5.10423631951825,-23.3603523533135
kodim20,gauss,method_2,0.7,3,28.0702850638534,28.3673543872669,1.05830533155523,0.880148221968813,0.8876757427146,0.855256030506763,7.1969124622808,5.54156807432483,-23.0007575697449
kodim21,gauss,method_2,0.7,3,26.024751817878,26.3507858889534,1.25278455432335,0.83361678473805,0.838040338380897,0.530645942336334,5.60951354063952,4.46280491586294,-20.4422115477386
kodim22,gauss,method_2,0.7,3,26.7737952568833,26.9923459101685,0.816285667340894,0.848172988300631,0.85534292900032,0.845339429407543,6.82756421620274,5.07510215558109,-25.6674562864282
kodim23,gauss,method_2,0.7,3,28.420592677596,28.7680114040092,1.2224190056637,0.918048487524688,0.924871938284184,0.743256031921956,6.54716800995738,5.95170734227366,-9.0949348905985
kodim24,gauss,method_2,0.7,3,25.3054035409689,25.300660331752,-0.0187438592285114,0.766804567961218,0.776119522413088,1.21477555573732,7.16979774809857,5.36916016399338,-25.1142033202084
