name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_2,1.1,7,24.1150214956596,23.1280585354024,-4.09273099936841,0.710716423787605,0.616551701021984,-13.2492678674557,7.24220001316037,5.62102997636916,-22.3850492094289
kodim02,gauss,method_2,1.1,7,28.0454844398903,28.0650509837738,0.0697671809714923,0.97314920013919,0.972925979510985,-0.0229379655424171,8.21093909016877,5.82901023189506,-29.0092135883175
kodim03,gauss,method_2,1.1,7,28.889183432536,28.9903865193639,0.350314805761898,0.937087750387719,0.939585287674435,0.266521175384312,8.45553309211667,7.06114179982689,-16.490873811254
kodim04,gauss,method_2,1.1,7,28.7331137920164,29.0997918369898,1.2761514384677,0.933482620729158,0.940468328365243,0.748348976291348,7.48151560499846,5.64850322004434,-24.500548842396
kodim05,gauss,method_2,1.1,7,23.4606463133317,22.699259321979,-3.24537943747959,0.785736697399334,0.746508528911801,-4.99253358248026,6.21650961799475,5.29685228516411,-14.7937892699231
kodim06,gauss,method_2,1.1,7,25.8063318313501,25.3613473883413,-1.7243227201639,0.831655067681562,0.808232942093312,-2.8163269242795,5.90559640423936,4.76238136483256,-19.358164038879
kodim07,gauss,method_2,1.1,7,27.7449428687623,27.7892385063827,0.159653014352539,0.891343336180656,0.897634027879033,0.70575405043488,7.24843051801213,5.88605768619584,-18.795418241657
kodim08,gauss,method_2,1.1,7,23.4760166981484,21.2537996772962,-9.46590322125427,0.812059946480298,0.721774425551744,-11.1180857176711,5.34989434148309,4.50715803046411,-15.752391677802
kodim09,gauss,method_2,1.1,7,28.3742323725659,27.9683891071333,-1.43032333035028,0.795812224523494,0.798692991267642,0.361990763068926,6.80409757101481,5.82884100501081,-14.333371263789
kodim10,gauss,method_2,1.1,7,28.3916988114205,28.110779473251,-0.98944180845013,0.81776030433309,0.821288374840569,0.431430883693423,6.71975931901749,5.49073848426258,-18.2896555725839
kodim11,gauss,method_2,1.1,7,25.8072416570913,25.3454611420514,-1.78934471640093,0.813962894973399,0.803109170875131,-1.33344212190689,5.66547705441077,4.6572645274706,-17.7957216533998
kodim12,gauss,method_2,1.1,7,28.5054656434621,28.4491659125277,-0.197505038642789,0.905701109399124,0.907111952048698,0.155773536648326,7.54732774001142,5.36186770815545,-28.9567394863478
kodim13,gauss,method_2,1.1,7,22.7470302551464,21.8717526167582,-3.84787652968542,0.783169820705448,0.736272506329314,-5.98814115869415,6.36335475639599,5.14224221298805,-19.1897605925644
kodim14,gauss,method_2,1.1,7,24.6082038954317,24.4438038781412,-0.66806995743815,0.794629987144362,0.787027829410815,-0.956691523921296,5.64670770245592,5.12258463922283,-9.28192303995358
kodim15,gauss,method_2,1.1,7,27.4476873278375,27.6689500228552,0.806125093072016,0.863484610896186,0.869638300823059,0.712657741576434,7.36895641361231,5.41325327668172,-26.5397571536442
kodim16,gauss,method_2,1.1,7,27.8734542801499,27.8575453595484,-0.0570755258445142,0.760254328306459,0.745924309396617,-1.88489803691931,7.93392429300744,5.33787842135938,-32.7208298916601
kodim17,gauss,method_2,1.1,7,27.34706383264,27.3620368836892,0.0547519512178219,0.758690124982938,0.772654070115302,1.84053339730482,6.65011836666583,5.10949100228704,-23.166916428154
kodim18,gauss,method_2,1.1,7,25.3718265397244,24.9133934285367,-1.80685892074002,0.80791458355327,0.807415621152934,-0.0617593011060722,6.21620668097304,5.46935834672826,-12.01453511079
kodim19,gauss,method_2,1.1,7,26.2730991721556,24.4174448424457,-7.06294418313823,0.847327499709987,0.824875149255079,-2.64978422895437,6.66004669417205,4.87972163395013,-26.7314200931926
kodim20,gauss,method_2,1.1,7,28.0702850638534,27.5847746294624,-1.72962416764413,0.880148221968813,0.881059304886871,0.103514714376083,7.1969124622808,5.34057716325576,-25.7934955962593
kodim21,gauss,method_2,1.1,7,26.024751817878,25.4641411037672,-2.1541443239652,0.83361678473805,0.815053240986367,-2.22686779963492,5.60951354063952,4.92890027328526,-12.1331959076913
kodim22,gauss,method_2,1.1,7,26.7737952568833,26.355786443652,-1.56126096140176,0.848172988300631,0.84844295019278,0.0318286358882865,6.82756421620274,5.13002149142773,-24.8630795847589
kodim23,gauss,method_2,1.1,7,28.420592677596,28.1046430650588,-1.11169255378066,0.918048487524688,0.923267776875943,0.568520009801215,6.54716800995738,6.03832659963501,-7.77193146026629
kodim24,gauss,method_2,1.1,7,25.3054035409689,24.3296838850458,-3.85577591893925,0.766804567961218,0.753604773885524,-1.72140263989153,7.16979774809857,5.24963461351223,-26.7812733643088
