name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,blurr,2.3,7,26.1589663960723,21.5403761631632,-17.6558590388439,0.814127189487225,0.492457211345329,-39.5110226381824,5.26153663626786,6.18057868059863,17.4671794166708
kodim02,gauss,blurr,2.3,7,30.1968195832686,28.0842388692566,-6.99603714287362,0.983046643443474,0.971951344590249,-1.12866453766222,5.84949480761276,6.10030519558327,4.28772733748058
kodim03,gauss,blurr,2.3,7,31.2347025857045,28.9625825860875,-7.27434491614779,0.959660928342066,0.944195316127579,-1.61157047846112,7.78056467874901,6.35426497311694,-18.3315705803168
kodim04,gauss,blurr,2.3,7,31.1946114909302,29.3821019047934,-5.81032909053452,0.95997698115759,0.948289631121347,-1.21746148768584,4.89240041702865,5.9060220559399,20.7182886213319
