name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_3,1.1,7,24.1150214956596,23.1155783168072,-4.14448388126992,0.710716423787605,0.616401581639667,-13.2703901290628,7.24220001316037,5.46703838157333,-24.5113588186084
kodim02,gauss,method_3,1.1,7,28.0454844398903,28.0720900017483,0.094865759637733,0.97314920013919,0.97295760460598,-0.0196881971626476,8.21093909016877,5.80770433773013,-29.268695408009
kodim03,gauss,method_3,1.1,7,28.889183432536,29.0031716091675,0.394570434632203,0.937087750387719,0.939670321701395,0.275595461855938,8.45553309211667,7.0234588685559,-16.9365338407336
kodim04,gauss,method_3,1.1,7,28.7331137920164,29.0960549174632,1.26314581870216,0.933482620729158,0.940496904008856,0.751410162753661,7.48151560499846,5.63044111358075,-24.741971936555
kodim05,gauss,method_3,1.1,7,23.4606463133317,22.7038243526759,-3.22592118967186,0.785736697399334,0.746614534650168,-4.97904232787576,6.21650961799475,5.28574803286652,-14.9724144628359
kodim06,gauss,method_3,1.1,7,25.8063318313501,25.3537018196905,-1.75394943619902,0.831655067681562,0.808143166532228,-2.82712173147452,5.90559640423936,4.73679070260884,-19.7914930453338
kodim07,gauss,method_3,1.1,7,27.7449428687623,27.8045308073095,0.214770449624107,0.891343336180656,0.897817263291372,0.726311270632971,7.24843051801213,5.83413047063506,-19.5118107825215
kodim08,gauss,method_3,1.1,7,23.4760166981484,21.2373570693344,-9.53594324624344,0.812059946480298,0.721482060102707,-11.1540886569005,5.34989434148309,4.4934960441535,-16.0077609512599
kodim09,gauss,method_3,1.1,7,28.3742323725659,27.9862389297223,-1.36741476473824,0.795812224523494,0.798866991118887,0.383855198658485,6.80409757101481,5.78003855058012,-15.0506222132549
kodim10,gauss,method_3,1.1,7,28.3916988114205,28.0967146461633,-1.03898032737116,0.81776030433309,0.821199368502811,0.420546723960371,6.71975931901749,5.43107050843269,-19.1776036819906
kodim11,gauss,method_3,1.1,7,25.8072416570913,25.3451752260764,-1.7904526068868,0.813962894973399,0.803147953196839,-1.32867749173181,5.66547705441077,4.59903202009134,-18.823569914367
kodim12,gauss,method_3,1.1,7,28.5054656434621,28.4610876248878,-0.155682489559791,0.905701109399124,0.907200387123401,0.165537803665893,7.54732774001142,5.31552062508674,-29.57082548692
kodim13,gauss,method_3,1.1,7,22.7470302551464,21.8597796192214,-3.90051196122306,0.783169820705448,0.736023204519518,-6.01997356632851,6.36335475639599,5.10994697436823,-19.6972796584683
kodim14,gauss,method_3,1.1,7,24.6082038954317,24.4433495185627,-0.669916331844266,0.794629987144362,0.787037145515093,-0.955519141249087,5.64670770245592,5.07961231305546,-10.0429386340259
kodim15,gauss,method_3,1.1,7,27.4476873278375,27.6760264952764,0.831906763988989,0.863484610896186,0.869691298337286,0.718795374321522,7.36895641361231,5.34285393988284,-27.4951073124378
kodim16,gauss,method_3,1.1,7,27.8734542801499,27.8532655123817,-0.0724300890920337,0.760254328306459,0.745911262570503,-1.88661415028131,7.93392429300744,5.31000633610207,-33.0721325286398
kodim17,gauss,method_3,1.1,7,27.34706383264,27.3611431963297,0.0514840049220867,0.758690124982938,0.772711047730652,1.84804339558656,6.65011836666583,5.09012705726712,-23.4580983884177
kodim18,gauss,method_3,1.1,7,25.3718265397244,24.9100217271952,-1.82014807568602,0.80791458355327,0.807426289461544,-0.0604388262900839,6.21620668097304,5.39148878587646,-13.2672212721133
kodim19,gauss,method_3,1.1,7,26.2730991721556,24.4135012151871,-7.0779543166313,0.847327499709987,0.824820713523561,-2.65620863174277,6.66004669417205,4.89877899616013,-26.4452755196617
kodim20,gauss,method_3,1.1,7,28.0702850638534,27.6012127124543,-1.67106372568747,0.880148221968813,0.881186208674348,0.117933170757662,7.1969124622808,5.29867641366815,-26.3757001153113
kodim21,gauss,method_3,1.1,7,26.024751817878,25.456870470099,-2.18208170342265,0.83361678473805,0.815005262182179,-2.23262329845237,5.60951354063952,4.86116999413065,-13.3406139603249
kodim22,gauss,method_3,1.1,7,26.7737952568833,26.333791085059,-1.64341352282226,0.848172988300631,0.84833714514822,0.0193541706530595,6.82756421620274,5.0874769291535,-25.4862090190199
kodim23,gauss,method_3,1.1,7,28.420592677596,28.1087312735335,-1.09730788375982,0.918048487524688,0.923287480739681,0.570666286823088,6.54716800995738,6.00754864390228,-8.24202716708057
kodim24,gauss,method_3,1.1,7,25.3054035409689,24.3213578820428,-3.8886779945354,0.766804567961218,0.753526306203562,-1.73163571429413,7.16979774809857,5.19283126905858,-27.57353203672
