name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_3,5,7,24.1150214956596,20.774697971133,-13.8516298860768,0.710716423787605,0.411023678542616,-42.1676965966037,7.24220001316037,5.45233700840783,-24.7143547747927
kodim02,gauss,method_3,5,7,28.0454844398903,26.9607140083129,-3.86789692972632,0.97314920013919,0.964918065363405,-0.84582454310264,8.21093909016877,5.95774353708597,-27.4413867687878
kodim03,gauss,method_3,5,7,28.889183432536,27.8110225515342,-3.73205730622197,0.937087750387719,0.928921305566079,-0.871470661980316,8.45553309211667,7.64552914564246,-9.57957277973882
kodim04,gauss,method_3,5,7,28.7331137920164,28.0498970240689,-2.3778027431798,0.933482620729158,0.929673466769437,-0.408058369286556,7.48151560499846,6.57135258644498,-12.1654898099175
kodim05,gauss,method_3,5,7,23.4606463133317,20.2013403189567,-13.8926521922919,0.785736697399334,0.591554073292994,-24.7134472335395,6.21650961799475,6.38627356401786,2.73085632380746
kodim06,gauss,method_3,5,7,25.8063318313501,23.5748227000485,-8.6471380197892,0.831655067681562,0.735673348305466,-11.5410490606001,5.90559640423936,4.98592849797676,-15.5728201406111
kodim07,gauss,method_3,5,7,27.7449428687623,25.3071582904506,-8.78641051755907,0.891343336180656,0.831098448703007,-6.75888684328915,7.24843051801213,6.6645497869776,-8.05527113191752
kodim08,gauss,method_3,5,7,23.4760166981484,18.3124361907348,-21.995130493415,0.812059946480298,0.51675812901035,-36.36453426251,5.34989434148309,4.9131074543155,-8.16440212250072
kodim09,gauss,method_3,5,7,28.3742323725659,25.1479422459811,-11.370493073512,0.795812224523494,0.750192614375438,-5.73245908296658,6.80409757101481,6.76347394229003,-0.597046534103702
kodim10,gauss,method_3,5,7,28.3916988114205,26.2445814816158,-7.56248276676204,0.81776030433309,0.776409467508771,-5.05659624283692,6.71975931901749,6.56577554074519,-2.29150734367096
kodim11,gauss,method_3,5,7,25.8072416570913,23.3547110988986,-9.50326497802529,0.813962894973399,0.735773349487698,-9.60603314580527,5.66547705441077,5.67160375412318,0.108140932415137
kodim12,gauss,method_3,5,7,28.5054656434621,26.8288541721972,-5.88171928933035,0.905701109399124,0.885294917673484,-2.25308233741462,7.54732774001142,5.88916330043702,-21.9702190854096
kodim13,gauss,method_3,5,7,22.7470302551464,19.9420430798008,-12.3312236537381,0.783169820705448,0.61475591388946,-21.5041364418624,6.36335475639599,5.88739331229421,-7.47972511863153
kodim14,gauss,method_3,5,7,24.6082038954317,22.593486163608,-8.18717912280363,0.794629987144362,0.712537041282814,-10.3309650012786,5.64670770245592,6.1209735472376,8.39897989717808
kodim15,gauss,method_3,5,7,27.4476873278375,26.4872787790264,-3.49905089394213,0.863484610896186,0.847365193521442,-1.8667868739448,7.36895641361231,6.11121146922235,-17.0681555676811
kodim16,gauss,method_3,5,7,27.8734542801499,26.5802924518574,-4.63940283574183,0.760254328306459,0.680736225007942,-10.4594081661661,7.93392429300744,5.69277832636809,-28.2476348887597
kodim17,gauss,method_3,5,7,27.34706383264,25.6354789247085,-6.25875201230435,0.758690124982938,0.718878575514911,-5.24740577965509,6.65011836666583,6.12455784462083,-7.90302507515363
kodim18,gauss,method_3,5,7,25.3718265397244,22.8229852445423,-10.0459511308398,0.80791458355327,0.744034546118027,-7.90678108003623,6.21620668097304,6.3886915391844,2.77476067099431
kodim19,gauss,method_3,5,7,26.2730991721556,21.2456824685582,-19.1352252380085,0.847327499709987,0.737408716076737,-12.9724083864707,6.66004669417205,5.01765244373992,-24.6604014333612
kodim20,gauss,method_3,5,7,28.0702850638534,25.3899391733498,-9.548694943448,0.880148221968813,0.844743705554591,-4.02256296502257,7.1969124622808,5.94805885875846,-17.3526301739476
kodim21,gauss,method_3,5,7,26.024751817878,23.2693869151528,-10.5874781131723,0.83361678473805,0.734859438965639,-11.8468518845196,5.60951354063952,6.08346675434542,8.44909652632488
kodim22,gauss,method_3,5,7,26.7737952568833,24.6287294062497,-8.01181091456275,0.848172988300631,0.815953357104876,-3.79870989057419,6.82756421620274,5.60988546460073,-17.8347462292964
kodim23,gauss,method_3,5,7,28.420592677596,26.021685162819,-8.44073711618276,0.918048487524688,0.905222513036407,-1.39709118446059,6.54716800995738,6.33409535665179,-3.25442470670573
kodim24,gauss,method_3,5,7,25.3054035409689,22.4716013120003,-11.1984075827152,0.766804567961218,0.666306287514599,-13.1061139494544,7.16979774809857,6.10625546765984,-14.8336440971543
