quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
30,Case_17-07,gauss,method_2,1.5,5,33.8894453674278,34.3089167955583,1.2377642170967,0.912863316090507,0.928974970278906,1.76495800679114
30,Case_17-08,gauss,method_2,1.5,5,34.1909513749585,34.726273462964,1.56568351121582,0.911823553127918,0.930396653329041,2.03691823241568
