quality,name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM
30,Case_17-07,gauss,method_2,1.5,3,33.8894453674278,34.8344350625424,2.78844839409184,0.912863316090507,0.934853255317474,2.40889724007557
30,Case_17-08,gauss,method_2,1.5,3,34.1909513749585,35.1415446293106,2.78024803676079,0.911823553127918,0.934070788210563,2.43986185773861
