name,type,method,sigma,filter_size,jpg_PSNR,PSNR,delta_PSNR,jpg_SSIM,SSIM,delta_SSIM,jpg_NIQE,NIQE,delta_NIQE
kodim01,gauss,method_1,4.4,7,26.1589663960723,20.9589845487575,-19.8783918622088,0.814127189487225,0.441320512511127,-45.7921909242349,5.26153663626786,5.03022296557621,-4.39631397978307
kodim02,gauss,method_1,4.4,7,30.1968195832686,27.6796257404532,-8.33595682444024,0.983046643443474,0.969617242562293,-1.36610006969143,5.84949480761276,5.41540188010264,-7.42103278637276
kodim03,gauss,method_1,4.4,7,31.2347025857045,28.7399529356012,-7.98710870788046,0.959660928342066,0.942433182702291,-1.79519089826215,7.78056467874901,5.59198085910096,-28.1288558094724
kodim04,gauss,method_1,4.4,7,31.1946114909302,29.0460484295518,-6.88760961810034,0.95997698115759,0.945354324734083,-1.5232299013955,4.89240041702865,5.26471040470455,7.60996557804271
kodim05,gauss,method_1,4.4,7,25.809512559855,20.5290232534048,-20.459469330171,0.872277366064175,0.629980275529931,-27.7775281075467,4.45431318800229,6.32663872814787,42.0339895539608
